service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
1211181d68094d512764,0,1,1,1,1,0,0,20260312,20260828,"2026-03-12 → 08-28 (23 mar, 24 mer, 24 jeu, 23 ven)"
12247f022e404441052e,0,0,1,0,0,0,0,20260318,20260701,2026-03-18 → 07-01 (14 mer)
122565446f7f07750977,1,1,1,1,1,1,0,20260312,20260328,"2026-03-12 → 03-28 (2 lun, 2 mar, 2 mer, 3 jeu, 3 ven, 3 sam)"
133c0d5e706c187d1a2c,0,0,0,1,1,0,0,20260312,20260703,"2026-03-12 → 07-03 (7 lun, 7 mar, 8 jeu, 8 ven)"
137162733c4c39557b7d,0,0,0,0,1,0,0,20260313,20260703,2026-03-13 → 07-03 (15 ven)
144d064b0a103d420766,0,0,0,0,0,1,0,20260314,20260829,2026-03-14 → 08-29 (23 sam)
1463077b4d582b6b5866,0,0,0,1,1,0,0,20260312,20260703,"2026-03-12 → 07-03 (7 lun, 7 mar, 7 mer, 8 jeu, 8 ven)"
147a57122571213a324f,1,1,1,1,1,0,0,20260420,20260831,"2026-04-20 → 08-31 (11 lun, 9 mar, 10 mer, 10 jeu, 10 ven)"
147e6920595c5e5f3503,0,0,0,0,0,1,1,20260404,20260830,"2026-04-04 → 08-30 (2 lun, mar, jeu, ven, 22 sam, 22 dim)"
15602e1d264342037801,1,1,0,1,1,0,0,20260312,20260331,"2026-03-12 → 03-31 (3 lun, 3 mar, 3 jeu, 3 ven)"
16544d20616e495a684d,0,0,0,0,1,0,0,20260313,20260703,"2026-03-13 → 07-03 (mer, jeu, 13 ven)"
174c1e444d0152553004,0,0,0,0,0,0,1,20260315,20260628,"2026-03-15 → 06-28 (2 lun, jeu, ven, 13 dim)"
17572a0b45545b3d2a42,0,0,0,0,0,1,1,20260314,20260830,"2026-03-14 → 08-30 (2 lun, mar, jeu, ven, 25 sam, 25 dim)"
181478224758054b1b7b,0,0,1,0,0,0,0,20260318,20260527,"2026-03-18 → 05-27 (2 lun, 2 mar, 11 mer, 2 jeu, 2 ven)"
185a5c662b136874144e,1,1,1,1,1,0,0,20260706,20260831,"2026-07-06 → 08-31 (9 lun, 8 mar, 8 mer, 8 jeu, 8 ven, sam)"
18792e395d5a2303635e,1,1,1,1,1,1,1,20260312,20260403,"2026-03-12 → 04-03 (3 lun, 3 mar, 3 mer, 4 jeu, 4 ven, 3 sam, 3 dim)"
191077313e2235522c59,1,1,1,1,1,0,0,20260420,20260515,"2026-04-20 → 05-15 (2 lun, 2 mar, 2 mer, 2 jeu, 2 ven)"
191e1862795732574e14,0,0,0,0,0,1,0,20260328,20260829,2026-03-28 → 08-29 (22 sam)
197f557a432337351961,0,0,0,0,0,1,1,20260314,20260704,"2026-03-14 → 07-04 (17 sam, 16 dim)"
1a20552b5a400f716a1b,0,0,0,0,0,0,1,20260705,20260830,"2026-07-05 → 08-30 (mar, sam, 9 dim)"
1a625b6620650e47641b,1,1,1,1,1,1,0,20260312,20260331,"2026-03-12 → 03-31 (3 lun, 3 mar, 2 mer, 3 jeu, 3 ven, 3 sam)"
1b73223c0c683713535c,1,1,1,1,1,0,0,20260312,20260831,"2026-03-12 → 08-31 (23 lun, 23 mar, 14 mer, 24 jeu, 23 ven)"
1c3c43656c3a20313649,0,1,0,1,0,1,0,20260704,20260829,"2026-07-04 → 08-29 (7 mar, 8 jeu, 8 sam)"
1c56223103557629134c,1,1,1,1,1,1,1,20260312,20260406,"2026-03-12 → 04-06 (4 lun, 3 mar, 3 mer, 4 jeu, 4 ven, 4 sam, 4 dim)"
1c5e31671b131e6e121c,0,1,0,1,0,0,0,20260312,20260827,"2026-03-12 → 08-27 (23 mar, 24 jeu)"
1c5f2e7e5f315837345b,0,1,0,0,0,1,0,20260314,20260829,"2026-03-14 → 08-29 (23 mar, 24 sam)"
1e6d1568513c2d7c4645,1,1,1,1,1,1,0,20260312,20260831,"2026-03-12 → 08-31 (23 lun, 23 mar, 24 mer, 24 jeu, 23 ven, 24 sam)"
1f611a736a79300c771c,1,1,0,1,1,1,0,20260312,20260703,"2026-03-12 → 07-03 (12 lun, 14 mar, 14 jeu, 14 ven, 13 sam)"
1f7a2b357e7d38080928,0,0,1,0,0,0,0,20260422,20260826,2026-04-22 → 08-26 (10 mer)
212d5d59425e2c582239,0,0,1,0,0,1,0,20260704,20260829,"2026-07-04 → 08-29 (8 mer, 8 sam)"
214c6d53106105397202,0,0,0,0,0,1,0,20260314,20260627,2026-03-14 → 06-27 (16 sam)
215a71507b0639687133,1,1,1,1,1,1,1,20260312,20260703,"2026-03-12 → 07-03 (14 lun, 16 mar, 16 mer, 16 jeu, 15 ven, 16 sam, 16 dim)"
220e7e723c71704c1463,1,1,1,1,1,1,0,20260704,20260831,"2026-07-04 → 08-31 (9 lun, 7 mar, 8 mer, 8 jeu, 8 ven, 8 sam)"
2217252a635429101753,0,0,0,0,0,1,0,20260314,20260829,"2026-03-14 → 08-29 (mar, 25 sam)"
230f133621511438486a,1,1,1,1,1,0,0,20260312,20260831,"2026-03-12 → 08-31 (23 lun, 22 mar, 22 mer, 23 jeu, 23 ven, sam)"
23336f631b5d5c412840,0,0,0,0,0,0,1,20260315,20260628,"2026-03-15 → 06-28 (2 lun, jeu, ven, 12 dim)"
234b7b49036429447908,0,0,0,0,0,0,1,20260405,20260830,"2026-04-05 → 08-30 (2 lun, mar, jeu, ven, sam, 22 dim)"
2369244d072944193b16,0,0,1,0,0,1,0,20260314,20260701,"2026-03-14 → 07-01 (14 mer, 13 sam)"
24285925351a702e696b,0,0,1,0,0,0,0,20260318,20260325,2026-03-18 → 03-25 (2 mer)
24612650357c0b424f41,1,0,0,0,0,0,0,20260316,20260831,2026-03-16 → 08-31 (23 lun)
25132a056d3f36415c33,0,0,0,0,1,0,1,20260313,20260703,"2026-03-13 → 07-03 (2 lun, mer, 2 jeu, 14 ven, 12 dim)"
2559304924676e71147b,1,1,1,1,1,1,1,20260312,20260830,"2026-03-12 → 08-30 (14 lun, 17 mar, 16 mer, 17 jeu, 15 ven, 17 sam, 13 dim)"
260e0371466e6d474163,1,1,1,1,1,0,1,20260312,20260329,"2026-03-12 → 03-29 (2 lun, 2 mar, 2 mer, 3 jeu, 3 ven, 3 dim)"
26655632680f58276d35,0,0,0,0,0,1,0,20260314,20260328,2026-03-14 → 03-28 (3 sam)
267f5357324d4c2d5e68,1,1,1,1,1,1,1,20260312,20260322,"2026-03-12 → 03-22 (lun, mar, mer, 2 jeu, 2 ven, 2 sam, 2 dim)"
2717492a2f3a2f317244,1,1,1,1,1,0,0,20260312,20260831,"2026-03-12 → 08-31 (23 lun, 23 mar, 24 mer, 24 jeu, 23 ven, 8 sam)"
273751330860503b3628,1,1,1,1,1,1,1,20260312,20260831,"2026-03-12 → 08-31 (25 lun, 24 mar, 24 mer, 25 jeu, 25 ven, 25 sam, 25 dim)"
285341263e5e2f061d7f,0,0,0,0,0,0,1,20260329,20260830,2026-03-29 → 08-30 (23 dim)
286c7a1575253e257932,0,0,0,0,0,0,1,20260315,20260628,"2026-03-15 → 06-28 (2 lun, jeu, ven, 16 dim)"
287a0474751e7b02497b,0,0,0,0,0,1,0,20260314,20260321,2026-03-14 → 03-21 (2 sam)
297463456e755c106031,0,0,0,0,0,1,0,20260314,20260831,"2026-03-14 → 08-31 (9 lun, 7 mar, 8 mer, 8 jeu, 8 ven, 16 sam)"
2a08755845643968295b,1,1,1,1,1,0,0,20260706,20260831,"2026-07-06 → 08-31 (9 lun, 7 mar, 8 mer, 8 jeu, 8 ven)"
2b6c35410f7325624009,1,0,0,1,0,0,0,20260312,20260702,"2026-03-12 → 07-02 (12 lun, 14 jeu)"
2c016c0f66481b2d0a72,1,1,0,1,1,0,0,20260312,20260831,"2026-03-12 → 08-31 (23 lun, 23 mar, 24 jeu, 23 ven)"
2c1725316c272476397c,1,1,0,1,1,0,0,20260402,20260703,"2026-04-02 → 07-03 (9 lun, 11 mar, 11 jeu, 11 ven)"
2c295b0e5f4444502b59,0,0,0,0,0,1,1,20260704,20260830,"2026-07-04 → 08-30 (mar, 9 sam, 9 dim)"
2c2b5d5572625c561b53,0,0,0,0,0,1,1,20260418,20260830,"2026-04-18 → 08-30 (mar, jeu, ven, 13 sam, 13 dim)"
2d354e43471062731419,0,0,0,0,0,1,1,20260314,20260321,"2026-03-14 → 03-21 (2 sam, dim)"
2e671c215f5d493b5916,0,0,0,0,0,0,1,20260315,20260329,2026-03-15 → 03-29 (3 dim)
2e78705176335a56496c,1,1,1,1,1,1,0,20260312,20260704,"2026-03-12 → 07-04 (14 lun, 16 mar, 16 mer, 16 jeu, 15 ven, 17 sam)"
2f1a1752020c5a341634,1,1,1,1,1,1,1,20260701,20260731,"2026-07-01 → 07-31 (4 lun, 4 mar, 5 mer, 5 jeu, 5 ven, 4 sam, 4 dim)"
2f35431c19607f6c4e37,1,1,1,1,1,0,1,20260401,20260831,"2026-04-01 → 08-31 (22 lun, 21 mar, 22 mer, 22 jeu, 21 ven, sam, 22 dim)"
